(row)      r       r"      tk      th      tj   						
    1   0.30    0.195   4059.   3251.    604.   
    2   0.33    0.215   4055.   3248.    604.   
    3   0.36    0.236   4051.   3244.    604.   
    4   0.40     0.26   4046.   3240.    603.   
    5   0.44    0.286   4040.   3235.    602.   
    6   0.48    0.315   4033.   3229.    601.   
    7   0.53    0.346   4025.   3222.    600.   
    8   0.58    0.381   4014.   3213.    599.   
    9   0.64    0.419   4002.   3202.    597.   
   10   0.71    0.461   3986.   3189.    596.   
   11   0.78    0.507   3967.   3173.    593.   
   12   0.86    0.557   3945.   3154.    591.   
   13   0.94    0.613   3918.   3132.    588.   
   14   1.04    0.674   3885.   3106.    584.   
   15   1.14    0.742   3847.   3076.    580.   
   16   1.25    0.816   3801.   3040.    575.   
   17   1.38    0.897   3747.   2997.    569.   
   18   1.52    0.987   3682.   2946.    561.   
   19   1.67     1.09   3605.   2887.    551.   
   20   1.83     1.19   3512.   2814.    539.   
   21   2.02     1.31   3401.   2727.    524.   
   22   2.22     1.45   3271.   2625.    506.   
   23   2.44     1.59   3117.   2506.    486.   
   24   2.69     1.75   2939.   2370.    462.   
   25   2.95     1.92   2737.   2217.    437.   
   26   3.25     2.12   2519.   2054.    409.   
   27   3.58     2.33   2286.   1883.    382.   
   28   3.93     2.56   2048.   1709.    354.   
   29   4.33     2.82   1817.   1537.    324.   
   30   4.76      3.1   1602.   1373.    293.   
   31   5.23     3.41   1415.   1220.    262.   
   32   5.76     3.75   1238.   1083.    234.   
   33   6.33     4.12   1063.    944.    209.   
   34   6.97     4.54    904.    811.    183.   
   35   7.66     4.99    775.    699.    160.   
   36   8.43     5.49    674.    612.    141.   
   37   9.27     6.04    590.    538.    127.   
   38  10.20     6.64    522.    482.    115.   
   39  11.22     7.31    464.    433.    104.   
   40  12.34     8.04    422.    391.     96.   
   41  13.58     8.84    381.    351.     87.   
   42  14.94     9.72    338.    314.     79.   
   43  16.43     10.7    306.    278.     71.   
   44  18.07     11.8    281.    249.     64.   
   45  19.88     12.9    258.    228.     60.   
   46  21.87     14.2    237.    210.     56.   
   47  24.05     15.7    217.    191.     52.   
   48  26.46     17.2    203.    172.     47.   
   49  29.11     18.9    188.    161.     44.   
   50  32.02     20.8    173.    145.     41.   
   51  35.22     22.9    159.    130.     38.   
   52  38.74     25.2    145.    116.     34.   
   53  42.61     27.7    134.    103.     31.   
   54  46.87     30.5    124.     92.     29.   
   55  51.56     33.6    115.     84.     27.   
   56  56.72     36.9    107.     75.     25.   
   57  62.39     40.6    100.     68.     23.   
   58  68.63     44.7     97.     62.     21.   
   59  75.49     49.1     92.     57.     21.   
   60  83.04     54.1     87.     53.     19.   
   61  91.34     59.5     80.     44.     17.   
   62 100.48     65.4     74.     37.     15.   
   63 110.53      72.     71.     31.     14.   
   64 121.58     79.1     64.     26.     13.   
   65 133.74     87.1     58.   INDEF   INDEF   
   66 147.11     95.8     52.   INDEF   INDEF   
   67 161.82     105.     47.   INDEF   INDEF   
   68 178.00     116.     44.   INDEF   INDEF   
   69 195.81     127.     40.   INDEF   INDEF   
   70 215.39     140.     34.   INDEF   INDEF   
   71 236.92     154.     30.   INDEF   INDEF   
   72 260.62     170.     27.   INDEF   INDEF   
   73 286.68     187.     28.   INDEF   INDEF   
   74 315.35     205.     29.   INDEF   INDEF   
